Configuration,Test Goal Completion Rate,Test Subgoal Completion Rate,Page F1,Page Recall,Page Precision,Page Accuracy,Assertion F1,Assertion Recall,Assertion Precision,Std Dev Goal Rate,Std Dev Page F1,Std Dev Assertion F1
Baseline AutoDroid,0.07603083033333334,0.07387145108813427,0.0,0.0,0.0,0.7564952077238004,0.0,0.0,0.0,0.016598046272579686,0.0,0.0
OODroid (Full),0.23084632000000002,0.2265081478908125,0.44870632032986785,0.571437158959076,0.36953505229367295,0.8325611136953072,0.17246620361465057,0.255116158851791,0.13049955951903164,0.007105528210751684,0.01494072355830317,0.0347287323680926
Without SOD,0.19650655,0.1952662721893491,0.0,0.0,0.0,0.8455414012738853,0.0,0.0,0.0,0.0,0.0,0.0
Without Conflict Adaptation,0.20285059833333333,0.20173379256530302,0.5163585641894874,0.650439445250766,0.4286503307898908,0.8317841684498961,0.1867985821064999,0.3173848634863486,0.13380234166751015,0.00870522918343178,0.02798552756743937,0.025562383858264388
