Configuration,Page F1 (%),Page Recall (%),Page Precision (%),Page Accuracy (%),Assertion F1 (%),Assertion Recall (%),Assertion Precision (%)
OODroid (Full),44.87063203298678,57.1437158959076,36.95350522936729,83.25611136953071,17.24662036146505,25.5116158851791,13.049955951903161
Without Conflict Adaptation,51.63585641894875,65.0439445250766,42.86503307898908,83.17841684498961,18.67985821064999,31.738486348634858,13.38023416675101
